Unnamed: 0,cluster,star,element,synth_teff,synth_teff_err,synth_logg,synth_logg_err,synth_MH,synth_MH_err,synth_vmic,synth_vmic_err,synth_vmac,synth_vmac_err,synth_vsini,synth_vsini_err,synth_R,synth_R_err,vel_atomic,vel_atomic_err,synth_x_over_h,synth_x_over_h_err,synth_absolute_abund,synth_absolute_abund_err,synth_nlines,snr
87,FSR_0278,G2181046721475213568,Nd 2,4702.86,17.2,2.63,0.03,-0.12,0.03,1.58,0.02,4.0,0.0,6.59,0.07,45000.0,0.0,-0.18,0.26,-0.03636128387274154,0.0957,1.4639,0.0953,1.0,89.0
88,FSR_0278,G2181046721475213568,Ni 1,4702.86,17.2,2.63,0.03,-0.12,0.03,1.58,0.02,4.0,0.0,6.59,0.07,45000.0,0.0,-0.18,0.26,-0.01597922984084195,0.0518,6.2288,0.0859,26.0,89.0
89,FSR_0278,G2181046721475213568,Pr 2,4702.86,17.2,2.63,0.03,-0.12,0.03,1.58,0.02,4.0,0.0,6.59,0.07,45000.0,0.0,-0.18,0.26,0.25645,0.1219,1.3234,0.1128,1.0,89.0
90,FSR_0278,G2181046721475213568,Sc 2,4702.86,17.2,2.63,0.03,-0.12,0.03,1.58,0.02,4.0,0.0,6.59,0.07,45000.0,0.0,-0.18,0.26,0.016929711385702068,0.0257,3.1616,0.1538,5.0,89.0
91,FSR_0278,G2181046721475213568,Si 1,4702.86,17.2,2.63,0.03,-0.12,0.03,1.58,0.02,4.0,0.0,6.59,0.07,45000.0,0.0,-0.18,0.26,0.038119230814191135,0.0324,7.608,0.0839,8.0,89.0
92,FSR_0278,G2181046721475213568,Ti 1,4702.86,17.2,2.63,0.03,-0.12,0.03,1.58,0.02,4.0,0.0,6.59,0.07,45000.0,0.0,-0.18,0.26,0.0005101102297051241,0.0443,4.8962,0.0412,11.0,89.0
93,FSR_0278,G2181046721475213568,Ti 2,4702.86,17.2,2.63,0.03,-0.12,0.03,1.58,0.02,4.0,0.0,6.59,0.07,45000.0,0.0,-0.18,0.26,0.014594120098197133,0.0843,4.9261,0.0777,11.0,89.0
94,FSR_0278,G2181046721475213568,V 1,4702.86,17.2,2.63,0.03,-0.12,0.03,1.58,0.02,4.0,0.0,6.59,0.07,45000.0,0.0,-0.18,0.26,0.03491063992744453,0.0462,3.9072,0.1107,16.0,89.0
95,FSR_0278,G2181046721475213568,Y 2,4702.86,17.2,2.63,0.03,-0.12,0.03,1.58,0.02,4.0,0.0,6.59,0.07,45000.0,0.0,-0.18,0.26,0.3363027674326841,0.1047,2.4193,0.1003,1.0,89.0
96,FSR_0278,G2181046721475213568,Zn 1,4702.86,17.2,2.63,0.03,-0.12,0.03,1.58,0.02,4.0,0.0,6.59,0.07,45000.0,0.0,-0.18,0.26,-0.2919839359628802,0.1141,4.0272,0.1122,1.0,89.0
